name,bus,control,p_nom,type,weather_cell_id,subtype,min_up_time,min_down_time,up_time_before,down_time_before
Generator_mvgd_40_lvgd_4547000000_solar_ground_mounted_232538,Bus_mvgd_40_lvgd_4547000000_gen_232538,PQ,0.003,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4547000000_solar_ground_mounted_232582,Bus_mvgd_40_lvgd_4547000000_gen_232582,PQ,0.002,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4547000000_solar_ground_mounted_232710,Bus_mvgd_40_lvgd_4547000000_gen_232710,PQ,0.011,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4547000000_solar_ground_mounted_232714,Bus_mvgd_40_lvgd_4547000000_gen_232714,PQ,0.004,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4547000000_solar_roof_mounted_232909,BranchTee_mvgd_40_lvgd_4547000000_2,PQ,0.068,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4547000000_solar_roof_mounted_232952,BranchTee_mvgd_40_lvgd_4547000000_5,PQ,0.037,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4547000000_solar_roof_mounted_233042,Bus_mvgd_40_lvgd_4547000000_gen_233042,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4547000000_solar_roof_mounted_233050,Bus_mvgd_40_lvgd_4547000000_gen_233050,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4549000000_solar_ground_mounted_232738,Bus_mvgd_40_lvgd_4549000000_gen_232738,PQ,0.026,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4549000000_solar_roof_mounted_232877,Bus_mvgd_40_lvgd_4549000000_gen_232877,PQ,0.012,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4549000000_solar_roof_mounted_232914,Bus_mvgd_40_lvgd_4549000000_gen_232914,PQ,0.246,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4549000000_solar_roof_mounted_232957,Bus_mvgd_40_lvgd_4549000000_gen_232957,PQ,0.029,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4549000000_solar_roof_mounted_233148,Bus_mvgd_40_lvgd_4549000000_gen_233148,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4549000000_solar_roof_mounted_235125,BranchTee_mvgd_40_lvgd_4549000000_4,PQ,0.046,solar,1127074,solar_roof_mounted,0,0,1,0
